name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
aa dekhen zara,2009,117,"Action, Sci-Fi, Thriller",5.0,866,Jehangir Surti,neil nitin mukesh,bipasha basu,sophiya chaudhary
aa gale lag jaa,1973,148,"Action, Drama, Romance",7.2,348,Manmohan Desai,shashi kapoor,sharmila tagore,shatrughan sinha
aa gale lag jaa,1994,158,"Mystery, Romance",4.4,115,Hamid Ali Khan,jugal hansraj,urmila matondkar,paresh rawal
aa gaya hero,2017,123,Action,2.7,339,Dipankar Senapati,govinda,richa sharma,poonam pandey
aa jao please,2016,120,Drama,6.8,16,Azad Jain,neha chauhan,ganraj jadhav,dipak khetiya
aabra ka daabra,2004,144,Fantasy,2.4,264,Dheeraj Kumar,naveen bawa,prabhu deva,satish kaushik
aabroo,1968,170,"Comedy, Crime, Drama",5.5,21,C.L. Rawal,ashok kumar,vimi,rehman
aadamkhor,2018,72,Horror,7.4,150,Kshitij Sharma,deeya dey,anoma pabuwal,mahendra singh rawat
aadat se majboor,1982,105,"Action, Crime, Drama",5.5,28,Ambrish Sangal,mithun chakraborty,rameshwari,madan puri
aadha din aadhee raat,1977,132,Action,5.1,18,Doondi,jalal agha,vinod khanna,shabana azmi
aadhaar,2019,107,Drama,7.6,69,Suman Ghosh,vineet kumar singh,saurabh shukla,raghuvir yadav
aadharshila,1982,154,Drama,6.4,19,Ashok Ahuja,dolly ahluwalia,raja bundela,neena gupta
aadhi bhagavan,2013,157,"Action, Crime, Thriller",5.4,568,Ameer Sultan,jayam ravi,neetu chandra,sudha chandran
aadhi raat,1950,115,"Drama, Romance",6.7,9,S.K. Ojha,cuckoo,jeevan,kuldip kaur
aadmi,1968,175,"Drama, Romance",6.8,196,A. Bhimsingh,dilip kumar,waheeda rehman,manoj kumar
aadmi,1993,153,"Action, Crime, Drama",6.5,97,Arshad Khan,ajit,vikas anand,arjun
aadmi aur apsara,1991,142,Fantasy,6.7,66,J. Om Prakash,k. raghavendra rao,chiranjeevi,amrish puri
aadmi aur insaan,1969,168,"Drama, Romance, Thriller",6.2,149,Yash Chopra,dharmendra,saira banu,feroz khan
aadmi khilona hai,1993,158,"Drama, Romance",5.0,142,J. Om Prakash,jeetendra,reena roy,govinda
aadmi ki aurat aur anya kahaniya,2009,78,Drama,7.6,62,Amit Dutta,ashok chaudhary,bramhaswaroop mishra,gagan singh sethi
aadmi sadak ka,1977,138,"Drama, Family",5.4,34,Devendra Goel,shatrughan sinha,vikram makandar,zaheera
aadupuliyattam,2016,145,Horror,4.2,266,Kannan Thamarakkulam,jayaram,ramya krishnan,om puri
aafat,1977,148,"Crime, Drama",5.3,17,Atma Ram,navin nischol,leena chandavarkar,jayshree t.
aag,1948,138,"Musical, Romance",7.4,357,Raj Kapoor,nargis,kamini kaushal,nigar sultana
